"nom","id_escalier","type_esc","nb_marche","rampe","etage","etage","transport","compatibilite_pmr","localisation"
"Neuilly-Plaisance",1681522,"EM",0,"OUI",2,2,"R","Non","POINT (1664329.3825000064 8183834.528700936)"
"Neuilly-Plaisance",1681521,"EF",0,"NON",2,,,,"POINT (1664335.1291831804 8183820.698352249)"
"Neuilly-Plaisance",1681517,"EF",0,"OUI",2,,,,"POINT (1664329.7091644898 8183830.236635406)"
"Neuilly-Plaisance",1681503,"EF",0,"OUI",2,,,,"POINT (1664332.388744174 8183825.695715474)"
"Neuilly-Plaisance",1681523,"EF",0,"OUI",2,,,,"POINT (1664342.460116976 8183809.116096983)"
"Neuilly-Plaisance",1681516,"EF",0,"OUI",2,,,,"POINT (1664345.5526079335 8183803.492607252)"
"Neuilly-Plaisance",1681510,"EM",0,"OUI",2,2,"R","Non","POINT (1664329.3825000064 8183834.528700936)"
"Neuilly-Plaisance",1681504,"EM",0,"NON",2,2,"R","Non","POINT (1664308.601400009 8183824.996100934)"
"Neuilly-Plaisance",1681515,"EF",0,"OUI",1,,,,"POINT (1664323.2871234012 8183798.006368829)"
"Neuilly-Plaisance",1681511,"EF",0,"OUI",1,,,,"POINT (1664326.6656220574 8183791.854651533)"
"Neuilly-Plaisance",1681508,"EF",0,"OUI",1,,,,"POINT (1664319.7708204698 8183804.409763709)"
"Neuilly-Plaisance",1681520,"EF",0,"OUI",0,,,,"POINT (1664340.5711848189 8183810.991481163)"
"Neuilly-Plaisance",1681518,"EF",0,"NON",0,,,,"POINT (1664336.9436270134 8183813.835167957)"
"Neuilly-Plaisance",1681513,"EF",0,"OUI",0,,,,"POINT (1664322.4736074242 8183801.105398569)"
"Neuilly-Plaisance",1681512,"EF",0,"OUI",0,,,,"POINT (1664319.4024011537 8183808.124318531)"
"Neuilly-Plaisance",1681509,"EF",0,"NON",0,,,,"POINT (1664335.7656293723 8183819.237463385)"
"Neuilly-Plaisance",1681502,"EF",,"NON",0,,,,"POINT (1664316.1190973937 8183810.21196453)"
"Neuilly-Plaisance",1681519,"EF",0,"OUI",1,,,,"POINT (1664369.220969201 8183716.957235625)"
"Neuilly-Plaisance",1681505,"EF",0,"OUI",1,,,,"POINT (1664369.655254771 8183714.78593079)"
"Neuilly-Plaisance",1681507,"EF",0,"OUI",2,,,,"POINT (1664388.8347351684 8183725.374000944)"
"Neuilly-Plaisance",1681506,"EF",0,"OUI",2,,,,"POINT (1664386.5816386 8183726.475145572)"
"Neuilly-Plaisance",1681514,"EF",0,"OUI",1,,,,"POINT (1664370.8035614 8183713.154735376)"
"Simplon",1844104,"EF",20,"OUI",-1,,,,"POINT (1652193.708292003 8188390.313230443)"
"Simplon",1844098,"EF",,"OUI",-1,,,,"POINT (1652192.2584713192 8188392.98378612)"
"Simplon",1844106,"EF",20,"OUI",-2,,,,"POINT (1652182.9193443547 8188384.646774394)"
"Simplon",1844097,"EF",,"OUI",-2,,,,"POINT (1652181.5052011795 8188387.307039286)"
"Simplon",1844105,"EF",6,"OUI",-1,,,,"POINT (1652167.378534664 8188404.155986013)"
"Simplon",1844107,"EF",16,"OUI",0,,,,"POINT (1652163.644413267 8188408.138167802)"
"Simplon",1844108,"EF",21,"OUI",0,,,,"POINT (1652187.6049497447 8188413.22712861)"
"Simplon",1844103,"EM",,"OUI",0,,,,"POINT (1652191.5544500072 8188404.322500923)"
"Simplon",1844102,"EM",,"NON",0,,,,"POINT (1652199.3326082027 8188390.566140953)"
"Simplon",1844101,"EM",,"NON",0,,,,"POINT (1652195.8678775567 8188397.561773942)"
"Simplon",1844100,"EM",,"NON",0,,,,"POINT (1652192.40310998 8188404.5575318225)"
"Simplon",1844099,"EM",,"NON",0,,,,"POINT (1652200.1813187676 8188390.801118089)"
"Pigalle",1718577,"EF",19,"OUI",-1,,,,"POINT (1651469.4365021284 8187110.981625604)"
"Pigalle",1718558,"EF",19,"OUI",-2,,,,"POINT (1651472.481566607 8187124.01435618)"
"Pigalle",1718576,"EF",15,"OUI",-4,,,,"POINT (1651379.8547094371 8187122.073055296)"
"Pigalle",1718557,"EF",16,"OUI",-4,,,,"POINT (1651379.1911771032 8187116.86349345)"
"Pigalle",1718561,"EF",13,"OUI",-2,,,,"POINT (1651464.9497902112 8187107.115971637)"
"Pigalle",1718553,"EF",13,"OUI",-2,,,,"POINT (1651469.3643444444 8187106.037977038)"
"Pigalle",1718579,"EF",13,"OUI",-2,,,,"POINT (1651475.7384068717 8187127.400870847)"
"Pigalle",1718567,"EF",13,"OUI",-2,,,,"POINT (1651471.3115383727 8187128.471658693)"
"Pigalle",1718575,"EF",16,"OUI",-4,,,,"POINT (1651403.495615508 8187100.450124478)"
"Pigalle",1718568,"EF",16,"OUI",-4,,,,"POINT (1651402.667841189 8187095.361992569)"
"Pigalle",1718559,"EF",13,"OUI",-4,,,,"POINT (1651406.8567612332 8187121.856920959)"
"Pigalle",1718552,"EF",14,"OUI",-4,,,,"POINT (1651406.1939264892 8187117.517955184)"
"Pigalle",1718548,"EF",14,"OUI",-4,,,,"POINT (1651405.331119522 8187111.90274611)"
"Pigalle",1718560,"EF",15,"OUI",-3,,,,"POINT (1651402.6243001446 8187119.651011136)"
"Pigalle",1718554,"EF",15,"OUI",-3,,,,"POINT (1651401.844256342 8187114.876355268)"
"Pigalle",1718569,"EM",0,"OUI",-4,-3,"M","Non","POINT (1651407.1469000063 8187101.015400925)"
"Pigalle",1718562,"EM",0,"NON",-4,-1,"M","Non","POINT (1651410.1295000098 8187120.272700925)"
"Pigalle",1718578,"EF",16,"OUI",-4,,,,"POINT (1651379.8515169644 8187095.358131858)"
"Pigalle",1718571,"EF",16,"OUI",-4,,,,"POINT (1651379.5411017109 8187100.705631148)"
"Pigalle",1718550,"EF",23,"OUI",0,,,,"POINT (1651449.798054855 8187119.0931877345)"
"Pigalle",1718565,"EF",18,"OUI",0,,,,"POINT (1651395.5176381152 8187139.234949014)"
"Pigalle",1718573,"EF",23,"OUI",0,,,,"POINT (1651418.464749471 8187133.3745555375)"
"Châtelet",1376481,"EM",,"NON",-2,,,,"POINT (1652095.6413000093 8184353.71010093)"
"Châtelet",1376480,"EM",,"NON",-2,,,,"POINT (1652096.9508500062 8184352.000900933)"
"Châtelet",1376479,"EM",,"NON",-2,,,,"POINT (1652096.0956000097 8184353.931050933)"
"Châtelet",1376478,"EM",,"NON",-2,,,,"POINT (1652093.7569068247 8184358.568986775)"
"Châtelet",1376477,"EM",,"NON",-2,,,,"POINT (1652092.7362500103 8184360.668000933)"
"Châtelet",1376586,"EF",24,"OUI",-2,,,,"POINT (1652117.7397113931 8184379.961141724)"
"Châtelet",1376522,"EM",0,"OUI",-2,-1,"M","Non","POINT (1652122.9493000067 8184380.480100931)"
